,Neurons,Execution time ,Prediction time,By image,Loss,Acc
0,5.0,18.362000000000002,3.016,0.0003,0.078,0.258
1,10.0,17.707,0.454,2e-05,0.066,0.48200000000000004
2,50.0,18.302,0.43099999999999994,0.0,0.06999999999999999,0.639
3,128.0,18.685,0.465,1e-05,0.074,0.623
4,256.0,18.904,0.493,4e-05,0.066,0.6719999999999999
5,512.0,19.019,0.516,7e-05,0.064,0.6719999999999999
6,1024.0,18.673,0.49800000000000005,4e-05,0.07100000000000001,0.637
7,1500.0,18.643,0.497,6.000000000000001e-05,0.054000000000000006,0.722
8,2048.0,19.189,0.492,4e-05,0.069,0.661
9,2500.0,19.232,0.479,3.0000000000000004e-05,0.059,0.6970000000000001
10,3000.0,19.213,0.48200000000000004,3.0000000000000004e-05,0.06799999999999999,0.661
11,3250.0,19.212,0.46900000000000003,2e-05,0.054000000000000006,0.732
12,3500.0,19.043,0.49000000000000005,3.0000000000000004e-05,0.067,0.658
13,3750.0,19.299,0.499,5e-05,0.06,0.706
14,4096.0,19.363,0.501,5e-05,0.067,0.6599999999999999
15,4500.0,19.997999999999998,0.5,6.000000000000001e-05,0.074,0.618
